PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
4,Damien,Daniels,5-7,140, Jr,0.63,10,Reggie,Miller,6-0,150, Sr,0.53,20,Coryon,Mason,6-0,190, Sr,0.33,42,Clay,Gayman,6-6,220, Jr,0.47,34,Kolton,Kohl,7-0,240, Sr,0.43,Abilene Christian,2021
10,Reggie,Miller,6-0,150, Sr,0.2,20,Coryon,Mason,6-0,190, Sr,0.29,15,Immanuel,Allen,6-4,215, So,0.28,32,Joe,Pleasant,6-8,220, Jr,0.24,32,Joe,Pleasant,6-8,220, Jr,0.34,Abilene Christian,2021
20,Coryon,Mason,6-0,190, Sr,0.12,1,Logan,McLaughlin,6-1,185, Fr,0.11,12,Mahki,Morris,6-3,184, Sr,0.24,3,Airion,Simmons,6-5,264, So,0.17,3,Airion,Simmons,6-5,264, So,0.18,Abilene Christian,2021
NA,NA,NA,NA,NA,,NA,12,Mahki,Morris,6-3,184, Sr,0.06,11,Tobias,Cameron,6-5,210, Jr,0.05,5,Cameron,Steele,6-8,205, Fr,0.06,NA,NA,NA,NA,NA,,NA,Abilene Christian,2021
11,Ameka,Akaya,6-6,215, Sr,0.31,10,AJ,Walker,6-2,191, Jr,0.74,5,Chris,Joyce,6-5,193, Sr,0.78,44,Keaton,Van,6-7,190, Sr,0.48,22,Nikc,Jackson,6-8,195, So,0.72,Air Force,2021
2,Glen,McClintock,6-2,185, Fr,0.3,5,Chris,Joyce,6-5,193, Sr,0.13,44,Keaton,Van,6-7,190, Sr,0.12,15,Abe,Kinrade,6-7,200, Jr,0.16,44,Keaton,Van,6-7,190, Sr,0.19,Air Force,2021
44,Keaton,Van,6-7,190, Sr,0.18,24,Mason,Taylor,6-4,185, So,0.08,10,AJ,Walker,6-2,191, Jr,0.07,11,Ameka,Akaya,6-6,215, Sr,0.12,11,Ameka,Akaya,6-6,215, Sr,0.05,Air Force,2021
10,AJ,Walker,6-2,191, Jr,0.12,2,Glen,McClintock,6-2,185, Fr,0.05,NA,NA,NA,NA,NA,,NA,5,Chris,Joyce,6-5,193, Sr,0.07,15,Abe,Kinrade,6-7,200, Jr,0.05,Air Force,2021
24,Mason,Taylor,6-4,185, So,0.05,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Air Force,2021
15,Abe,Kinrade,6-7,200, Jr,0.05,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Air Force,2021
