Year,Team,Min.Pct,PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr
2021,Abilene Christian,0.11699999999999999,4,Damien,Daniels,5-7,140, Jr,10,Reggie,Miller,6-0,150, Sr,20,Coryon,Mason,6-0,190, Sr,42,Clay,Gayman,6-6,220, Jr,32,Joe,Pleasant,6-8,220, Jr
2021,Abilene Christian,0.073,4,Damien,Daniels,5-7,140, Jr,10,Reggie,Miller,6-0,150, Sr,20,Coryon,Mason,6-0,190, Sr,32,Joe,Pleasant,6-8,220, Jr,34,Kolton,Kohl,7-0,240, Sr
2021,Abilene Christian,0.055999999999999994,4,Damien,Daniels,5-7,140, Jr,20,Coryon,Mason,6-0,190, Sr,15,Immanuel,Allen,6-4,215, So,42,Clay,Gayman,6-6,220, Jr,32,Joe,Pleasant,6-8,220, Jr
2021,Abilene Christian,0.045,4,Damien,Daniels,5-7,140, Jr,10,Reggie,Miller,6-0,150, Sr,20,Coryon,Mason,6-0,190, Sr,3,Airion,Simmons,6-5,264, So,34,Kolton,Kohl,7-0,240, Sr
2021,Abilene Christian,0.033,10,Reggie,Miller,6-0,150, Sr,20,Coryon,Mason,6-0,190, Sr,12,Mahki,Morris,6-3,184, Sr,42,Clay,Gayman,6-6,220, Jr,3,Airion,Simmons,6-5,264, So
2021,Abilene Christian,0.027999999999999997,20,Coryon,Mason,6-0,190, Sr,10,Reggie,Miller,6-0,150, Sr,12,Mahki,Morris,6-3,184, Sr,32,Joe,Pleasant,6-8,220, Jr,34,Kolton,Kohl,7-0,240, Sr
2021,Abilene Christian,0.027000000000000003,4,Damien,Daniels,5-7,140, Jr,10,Reggie,Miller,6-0,150, Sr,20,Coryon,Mason,6-0,190, Sr,32,Joe,Pleasant,6-8,220, Jr,3,Airion,Simmons,6-5,264, So
2021,Abilene Christian,0.027000000000000003,20,Coryon,Mason,6-0,190, Sr,10,Reggie,Miller,6-0,150, Sr,12,Mahki,Morris,6-3,184, Sr,3,Airion,Simmons,6-5,264, So,34,Kolton,Kohl,7-0,240, Sr
2021,Abilene Christian,0.025,4,Damien,Daniels,5-7,140, Jr,10,Reggie,Miller,6-0,150, Sr,15,Immanuel,Allen,6-4,215, So,32,Joe,Pleasant,6-8,220, Jr,34,Kolton,Kohl,7-0,240, Sr
2021,Abilene Christian,0.023,10,Reggie,Miller,6-0,150, Sr,12,Mahki,Morris,6-3,184, Sr,11,Tobias,Cameron,6-5,210, Jr,3,Airion,Simmons,6-5,264, So,34,Kolton,Kohl,7-0,240, Sr
2021,Abilene Christian,0.132,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2021,Air Force,0.228,11,Ameka,Akaya,6-6,215, Sr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,44,Keaton,Van,6-7,190, Sr,22,Nikc,Jackson,6-8,195, So
2021,Air Force,0.198,2,Glen,McClintock,6-2,185, Fr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,44,Keaton,Van,6-7,190, Sr,22,Nikc,Jackson,6-8,195, So
2021,Air Force,0.114,44,Keaton,Van,6-7,190, Sr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,NA,Mcclint,NA,NA,NA,ock,22,Nikc,Jackson,6-8,195, So
2021,Air Force,0.11,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,44,Keaton,Van,6-7,190, Sr,11,Ameka,Akaya,6-6,215, Sr,22,Nikc,Jackson,6-8,195, So
2021,Air Force,0.071,2,Glen,McClintock,6-2,185, Fr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,15,Abe,Kinrade,6-7,200, Jr,44,Keaton,Van,6-7,190, Sr
2021,Air Force,0.053,44,Keaton,Van,6-7,190, Sr,24,Mason,Taylor,6-4,185, So,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,22,Nikc,Jackson,6-8,195, So
2021,Air Force,0.05,15,Abe,Kinrade,6-7,200, Jr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,NA,Mcclint,NA,NA,NA,ock,44,Keaton,Van,6-7,190, Sr
2021,Air Force,0.040999999999999995,11,Ameka,Akaya,6-6,215, Sr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,44,Keaton,Van,6-7,190, Sr,15,Abe,Kinrade,6-7,200, Jr
2021,Air Force,0.038,11,Ameka,Akaya,6-6,215, Sr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,NA,Mcclint,NA,NA,NA,ock,44,Keaton,Van,6-7,190, Sr
2021,Air Force,0.031,2,Glen,McClintock,6-2,185, Fr,10,AJ,Walker,6-2,191, Jr,5,Chris,Joyce,6-5,193, Sr,15,Abe,Kinrade,6-7,200, Jr,11,Ameka,Akaya,6-6,215, Sr
2021,Air Force,0.015,NA,UNKNOWN,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
2021,Alabama,0.18,13,Jahvon,Quinerly,6-1,175, So,5,Jaden,Shackelford,6-3,200, So,23,John,Petty,6-5,184, Sr,1,Herbert,Jones,6-8,210, Sr,2,Jordan,Bruner,6-10,225, Sr
2021,Alabama,0.061,13,Jahvon,Quinerly,6-1,175, So,23,John,Petty,6-5,184, Sr,5,Jaden,Shackelford,6-3,200, So,1,Herbert,Jones,6-8,210, Sr,2,Jordan,Bruner,6-10,225, Sr
2021,Alabama,0.033,13,Jahvon,Quinerly,6-1,175, So,23,John,Petty,6-5,184, Sr,11,Joshua,Primo,6-6,190, Fr,1,Herbert,Jones,6-8,210, Sr,3,Alex,Reese,6-9,230, Sr
2021,Alabama,0.027999999999999997,5,Jaden,Shackelford,6-3,200, So,23,John,Petty,6-5,184, Sr,11,Joshua,Primo,6-6,190, Fr,1,Herbert,Jones,6-8,210, Sr,3,Alex,Reese,6-9,230, Sr
2021,Alabama,0.026000000000000002,14,Keon,Ellis,6-6,170, Jr,11,Joshua,Primo,6-6,190, Fr,4,Juwan,Gary,6-6,218, Fr,12,Darius,Miles,6-6,185, Fr,22,Keon,Ambrose,6-8,210, Fr
2021,Alabama,0.026000000000000002,13,Jahvon,Quinerly,6-1,175, So,5,Jaden,Shackelford,6-3,200, So,11,Joshua,Primo,6-6,190, Fr,33,James,Rojas,6-8,220, Jr,2,Jordan,Bruner,6-10,225, Sr
2021,Alabama,0.026000000000000002,5,Jaden,Shackelford,6-3,200, So,23,John,Petty,6-5,184, Sr,11,Joshua,Primo,6-6,190, Fr,1,Herbert,Jones,6-8,210, Sr,2,Jordan,Bruner,6-10,225, Sr
2021,Alabama,0.025,3,Alex,Reese,6-9,230, Sr,23,John,Petty,6-5,184, Sr,5,Jaden,Shackelford,6-3,200, So,33,James,Rojas,6-8,220, Jr,1,Herbert,Jones,6-8,210, Sr
2021,Alabama,0.024,23,John,Petty,6-5,184, Sr,11,Joshua,Primo,6-6,190, Fr,1,Herbert,Jones,6-8,210, Sr,33,James,Rojas,6-8,220, Jr,3,Alex,Reese,6-9,230, Sr
2021,Alabama,0.023,14,Keon,Ellis,6-6,170, Jr,5,Jaden,Shackelford,6-3,200, So,11,Joshua,Primo,6-6,190, Fr,33,James,Rojas,6-8,220, Jr,1,Herbert,Jones,6-8,210, Sr
