Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Go-to Guys,34,Kolton Kohl,7-0,240,Sr,4,4,43.8,109.5,32.2,29.6,50,59.2,17.3,6.7,6.7,17.1,0,0.8,4,9.4,75,17,21,0.81,11,25,0.44,2,3,0.667,NA,NA,49,17,NA,NA,31,196,NA,NA,NA,NA,NA,13,NA,276,NA,NA,National Rank,Abilene Christian,2021,39153
Major Contributor,32,Joe Pleasant,6-8,220,Jr,4,3,58.1,79,24.2,25.5,34.4,39.6,5.2,10.9,10.9,17.1,1.3,1.8,3.9,5.9,46.9,9,15,0.6,11,29,0.379,0,3,0,NA,NA,42,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,National Rank,Abilene Christian,2021,43603
Significant Contributor,4,Damien Daniels,5-7,140,Jr,4,4,61.9,88.8,20.7,21.7,48.3,46.4,2.5,24,24.7,21.5,0,2.8,2.4,3.6,24.1,2,7,0.286,8,18,0.444,4,11,0.364,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,455,NA,NA,NA,NA,NA,445,National Rank,Abilene Christian,2021,43580
Significant Contributor,42,Clay Gayman,6-6,220,Jr,4,NA,51.2,105.5,23.1,25.3,67.9,67.2,4.4,8.5,8.5,23.2,2.9,5.4,3.4,4.9,35.7,6,10,0.6,7,16,0.438,8,12,0.667,NA,NA,NA,423,NA,NA,NA,NA,NA,NA,394,47,NA,405,NA,NA,NA,16,National Rank,Abilene Christian,2021,43576
Significant Contributor,15,Immanuel Allen,6-4,215,So,4,NA,30.6,122.5,23.6,28.7,68.4,68.7,12.4,11.1,11.1,14.3,0,2.2,9,5,31.6,4,6,0.667,10,16,0.625,2,3,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,46638
Role Player,20,Coryon Mason,6-0,190,Sr,4,4,71.9,100.7,17.4,17.4,55.6,57.4,2.1,15,15.7,22,1,1,2.4,4,40.7,7,11,0.636,9,16,0.562,4,11,0.364,NA,NA,NA,NA,35,373,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,445,National Rank,Abilene Christian,2021,46449
Role Player,12,Mahki Morris,6-3,184,Sr,4,NA,35.6,91,18.5,16.9,53.9,53.6,2.1,16,16.7,26.1,0,3.9,5.6,4.3,46.1,3,6,0.5,1,5,0.2,4,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,46450
Limited Role,10,Reggie Miller,6-0,150,Sr,4,4,75,99.7,12.2,8,53.9,54.8,1,20.4,20.4,26.3,1,4.6,2.3,3.9,100,7,13,0.538,1,5,0.2,4,8,0.5,45,NA,NA,NA,413,484,NA,279,409,NA,NA,11,496,NA,28,NA,NA,NA,National Rank,Abilene Christian,2021,41453
Limited Role,3,Airion Simmons,6-5,264,So,4,1,35.6,105.1,15.8,19.5,50,54.7,2.1,7.2,7.2,12.2,0,3.9,4.2,3.7,33.3,4,5,0.8,6,11,0.545,1,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,46451
Nearly Invisible,1,Logan McLaughlin,6-1,185,Fr,4,NA,15,143,11,15.4,110,100.8,0,0,0,20.9,0,0,5,3.3,40,1,2,0.5,1,1,0.999,3,4,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2021,48993
