Team.Rk,Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
138,Abilene Christian,170,East Tennessee St.,"W, 70-47",71,0,NA,Neutral,1,0,NA,NA,FALSE,Regular,2021,Wed Nov 25,20201125,1,0,0,0,2020-11-25,1,NA
135,Abilene Christian,145,Austin Peay,"W, 80-72",76,0,NA,Neutral,2,0,NA,NA,FALSE,Regular,2021,Fri Nov 27,20201127,2,0,0,0,2020-11-27,119,NA
130,Abilene Christian,215,Nebraska Omaha,"W, 70-58",74,0,NA,Neutral,3,0,NA,NA,FALSE,Regular,2021,Sat Nov 28,20201128,3,0,0,0,2020-11-28,4031,NA
127,Abilene Christian,NA,Howard Payne,"W, 81-51",81,0,NA,Home,4,0,NA,NA,FALSE,Regular,2021,Tue Dec 1,20201201,4,0,0,0,2020-12-01,336,NA
129,Abilene Christian,333,Tarleton St.,"W, 69-48",69,0,NA,Home,5,0,NA,NA,FALSE,Regular,2021,Sat Dec 5,20201205,5,0,0,0,2020-12-05,575,NA
NA,Abilene Christian,5,Texas Tech,"L, 74-58",71,NA,0.07,Away,NA,NA,NA,NA,FALSE,Regular,2021,Wed Dec 9,20201209,5,1,0,0,2020-12-09,657,A
NA,Abilene Christian,NA,McMurry,W,NA,NA,1,Home,NA,NA,NA,NA,FALSE,Regular,2021,Sat Dec 12,20201212,6,1,0,0,2020-12-12,NA,NA
NA,Abilene Christian,NA,Hardin Simmons,W,NA,NA,1,Home,NA,NA,NA,NA,FALSE,Regular,2021,Wed Dec 16,20201216,7,1,0,0,2020-12-16,NA,NA
NA,Abilene Christian,42,Arkansas,"L, 75-64",73,NA,0.15,Away,NA,NA,NA,NA,FALSE,Regular,2021,Tue Dec 22,20201222,7,2,0,0,2020-12-22,1025,A
NA,Abilene Christian,279,Lamar,"W, 74-62",73,NA,0.86,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 2,20210102,8,2,1,0,2021-01-02,1260,NA
NA,Abilene Christian,348,Houston Baptist,"W, 83-66",75,NA,0.93,Away,NA,NA,NA,NA,TRUE,Regular,2021,Wed Jan 6,20210106,9,2,2,0,2021-01-06,1461,NA
NA,Abilene Christian,316,Texas A&M Corpus Chris,"W, 73-64",71,NA,0.8,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 9,20210109,10,2,3,0,2021-01-09,1702,NA
NA,Abilene Christian,332,Southeastern Louisiana,"W, 79-62",74,NA,0.93,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 16,20210116,11,2,4,0,2021-01-16,1910,NA
NA,Abilene Christian,314,Sam Houston St.,"W, 76-66",73,NA,0.8,Away,NA,NA,NA,NA,TRUE,Regular,2021,Wed Jan 20,20210120,12,2,4,1,2021-01-20,2126,NA
NA,Abilene Christian,250,Central Arkansas,"W, 79-68",75,NA,0.84,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 23,20210123,12,3,5,1,2021-01-23,2222,NA
NA,Abilene Christian,151,Stephen F. Austin,"W, 73-68",74,NA,0.66,Home,NA,NA,NA,NA,TRUE,Regular,2021,Wed Jan 27,20210127,13,3,6,1,2021-01-27,2420,NA
NA,Abilene Christian,344,Incarnate Word,"W, 76-61",71,NA,0.9,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 30,20210130,14,3,7,1,2021-01-30,2588,NA
NA,Abilene Christian,279,Lamar,"W, 72-64",73,NA,0.75,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Feb 6,20210206,15,3,7,2,2021-02-06,2909,NA
NA,Abilene Christian,348,Houston Baptist,"W, 85-64",75,NA,0.97,Home,NA,NA,NA,NA,TRUE,Regular,2021,Wed Feb 10,20210210,16,3,8,2,2021-02-10,3034,NA
NA,Abilene Christian,316,Texas A&M Corpus Chris,"W, 75-61",71,NA,0.9,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Feb 13,20210213,17,3,9,2,2021-02-13,3164,NA
NA,Abilene Christian,332,Southeastern Louisiana,"W, 76-64",74,NA,0.86,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Feb 20,20210220,17,4,10,2,2021-02-20,3564,NA
NA,Abilene Christian,314,Sam Houston St.,"W, 78-64",73,NA,0.9,Home,NA,NA,NA,NA,TRUE,Regular,2021,Wed Feb 24,20210224,18,4,11,2,2021-02-24,3654,NA
NA,Abilene Christian,250,Central Arkansas,"W, 77-70",75,NA,0.71,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Feb 27,20210227,19,4,12,2,2021-02-27,3772,NA
NA,Abilene Christian,151,Stephen F. Austin,"W, 71-70",74,NA,0.5,Away,NA,NA,NA,NA,TRUE,Regular,2021,Wed Mar 3,20210303,20,4,12,3,2021-03-03,3936,NA
NA,Abilene Christian,344,Incarnate Word,"W, 78-59",71,NA,0.95,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Mar 6,20210306,20,5,13,3,2021-03-06,3979,NA
227,Air Force,308,Cal St. Northridge,"W, 66-61",65,0,NA,Neutral,1,0,NA,NA,FALSE,Regular,2021,Sat Nov 28,20201128,1,0,0,0,2020-11-28,233,NA
231,Air Force,286,Seattle,"L, 63-45",57,0,NA,Neutral,1,1,NA,NA,FALSE,Regular,2021,Sun Nov 29,20201129,1,1,0,0,2020-11-29,276,NA
258,Air Force,279,Lamar,"W, 59-44",62,0,NA,Home,2,1,NA,NA,FALSE,Regular,2021,Sat Dec 5,20201205,2,1,0,0,2020-12-05,551,NA
NA,Air Force,129,Drake,"L, 69-60",64,NA,0.21,Away,NA,NA,NA,NA,FALSE,Regular,2021,Sun Dec 13,20201213,2,2,0,0,2020-12-13,728,NA
NA,Air Force,119,Nevada,"L, 70-60",66,NA,0.19,Away,NA,NA,NA,NA,TRUE,Regular,2021,Fri Dec 18,20201218,2,3,0,1,2020-12-18,870,B
NA,Air Force,119,Nevada,"L, 70-60",66,NA,0.19,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sun Dec 20,20201220,3,3,0,2,2020-12-20,973,B
NA,Air Force,293,Utah Valley,"W, 67-63",67,NA,0.66,Home,NA,NA,NA,NA,FALSE,Regular,2021,Wed Dec 23,20201223,3,4,0,2,2020-12-23,4246,NA
NA,Air Force,88,Utah St.,"L, 69-61",65,NA,0.23,Home,NA,NA,NA,NA,TRUE,Regular,2021,Thu Dec 31,20201231,3,5,1,2,2020-12-31,1194,NA
NA,Air Force,88,Utah St.,"L, 69-61",65,NA,0.23,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 2,20210102,4,5,1,3,2021-01-02,1261,NA
NA,Air Force,94,Boise St.,"L, 71-60",65,NA,0.14,Away,NA,NA,NA,NA,TRUE,Regular,2021,Wed Jan 6,20210106,4,6,1,4,2021-01-06,1464,B
NA,Air Force,94,Boise St.,"L, 71-60",65,NA,0.14,Away,NA,NA,NA,NA,TRUE,Regular,2021,Fri Jan 8,20210108,4,7,1,5,2021-01-08,1540,B
NA,Air Force,193,Wyoming,"L, 65-64",64,NA,0.49,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 16,20210116,4,8,2,5,2021-01-16,1911,NA
NA,Air Force,193,Wyoming,"L, 65-64",64,NA,0.49,Home,NA,NA,NA,NA,TRUE,Regular,2021,Mon Jan 18,20210118,5,8,2,6,2021-01-18,2069,NA
NA,Air Force,34,San Diego St.,"L, 69-56",63,NA,0.11,Home,NA,NA,NA,NA,TRUE,Regular,2021,Fri Jan 22,20210122,5,9,2,7,2021-01-22,2175,B
NA,Air Force,34,San Diego St.,"L, 69-56",63,NA,0.11,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sun Jan 24,20210124,5,10,2,8,2021-01-24,2356,B
NA,Air Force,263,San Jose St.,"L, 69-67",68,NA,0.45,Away,NA,NA,NA,NA,TRUE,Regular,2021,Thu Jan 28,20210128,6,10,3,8,2021-01-28,2476,NA
NA,Air Force,263,San Jose St.,"L, 69-67",68,NA,0.45,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Jan 30,20210130,6,11,3,9,2021-01-30,2640,NA
NA,Air Force,136,UNLV,"L, 70-61",65,NA,0.22,Away,NA,NA,NA,NA,TRUE,Regular,2021,Fri Feb 5,20210205,6,12,3,10,2021-02-05,2846,NA
NA,Air Force,136,UNLV,"L, 70-61",65,NA,0.22,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sun Feb 7,20210207,7,12,4,10,2021-02-07,2998,NA
NA,Air Force,153,Fresno St.,"L, 64-62",63,NA,0.41,Home,NA,NA,NA,NA,TRUE,Regular,2021,Thu Feb 11,20210211,7,13,4,11,2021-02-11,3068,NA
NA,Air Force,153,Fresno St.,"L, 64-62",63,NA,0.41,Home,NA,NA,NA,NA,TRUE,Regular,2021,Sat Feb 13,20210213,7,14,4,12,2021-02-13,3165,NA
NA,Air Force,217,New Mexico,"W, 68-67",67,NA,0.54,Home,NA,NA,NA,NA,TRUE,Regular,2021,Mon Feb 22,20210222,8,14,5,12,2021-02-22,3623,NA
NA,Air Force,217,New Mexico,"W, 68-67",67,NA,0.54,Home,NA,NA,NA,NA,TRUE,Regular,2021,Wed Feb 24,20210224,8,15,6,12,2021-02-24,3655,NA
NA,Air Force,120,Colorado St.,"L, 73-63",65,NA,0.19,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Feb 27,20210227,9,15,6,13,2021-02-27,3778,B
NA,Air Force,120,Colorado St.,"L, 73-63",65,NA,0.19,Away,NA,NA,NA,NA,TRUE,Regular,2021,Mon Mar 1,20210301,9,16,6,14,2021-03-01,3898,B
NA,Akron,NA,Cedarville,W,NA,NA,1,Home,NA,NA,NA,NA,FALSE,Regular,2021,Sat Dec 12,20201212,1,0,0,0,2020-12-12,NA,NA
NA,Akron,72,St. Bonaventure,"L, 76-69",71,NA,0.27,Neutral,NA,NA,NA,NA,FALSE,Regular,2021,Tue Dec 15,20201215,1,1,0,0,2020-12-15,4066,B
NA,Akron,164,Kent St.,"L, 73-72",72,NA,0.48,Away,NA,NA,NA,NA,TRUE,Regular,2021,Sat Dec 19,20201219,2,1,0,1,2020-12-19,922,NA
NA,Akron,121,Ohio,"W, 74-73",73,NA,0.5,Home,NA,NA,NA,NA,TRUE,Regular,2021,Tue Dec 22,20201222,2,2,1,1,2020-12-22,3634,NA
NA,Akron,130,Buffalo,"W, 76-75",75,NA,0.54,Home,NA,NA,NA,NA,TRUE,Regular,2021,Fri Jan 1,20210101,3,2,2,1,2021-01-01,1262,NA
