Rk,Team,Conf,Arena,Alternate,Year,lon,lat
1,Syracuse,ACC,Carrier Dome,,2021,-76.1363161,43.0362269
2,Louisville,ACC,KFC Yum! Center,,2021,-85.7542438,38.2571679
3,North Carolina,ACC,Dean E. Smith Center,,2021,-79.0438731,35.8994844
4,Tennessee,SEC,Thompson Boling Arena,,2021,-83.9250359,35.9511794
5,Kentucky,SEC,Rupp Arena,,2021,-84.5025226,38.0492752
6,N.C. State,ACC,PNC Arena,,2021,-78.7218018,35.803329
7,Arkansas,SEC,Bud Walton Arena,,2021,-94.1780556,36.0616667
8,Ohio St.,B10,Value City Arena,,2021,-83.0249431,40.0079107
9,BYU,WCC,Marriott Center,,2021,-111.6492787,40.2540523
10,Memphis,Amer,FedExForum,,2021,-90.0505864,35.1381418
11,Bellarmine,ASun,Freedom Hall,,2021,-85.7416509,38.1996107
12,South Carolina,SEC,Colonial Life Arena,,2021,-81.0371971,33.9948495
12,UNLV,MWC,Thomas & Mack Center,,2021,-95.6164276,37.0370221
14,Maryland,B10,Xfinity Center,,2021,-76.93826291,38.99057937
15,Marquette,BE,Fiserv Forum,,2021,-87.9173862,43.0450802
16,Indiana,B10,Assembly Hall,,2021,-86.5221318,39.1808898
17,Creighton,BE,CHI Health Center Omaha,,2021,-95.9282961,41.2636927
18,Wisconsin,B10,Kohl Center,,2021,-89.39672,43.069396
19,Texas,B12,Erwin Center,,2021,-97.732185,30.2769359
20,Kansas,B12,Allen Fieldhouse,,2021,-95.2527778,38.9541667
21,Fresno St.,MWC,Save Mart Center,,2021,-119.7385051,36.8099385
22,Illinois,B10,State Farm Center,,2021,-88.2358984,40.0961996
23,New Mexico,MWC,Dreamstyle Arena,,2021,-106.6322619,35.0670344
24,Alabama,SEC,Coleman Coliseum,,2021,-87.5396965,33.2030429
25,Penn St.,B10,Bryce Jordan Center,,2021,-77.8556061,40.8086107
26,Texas Tech,B12,United Supermarkets Arena,,2021,-101.886563,33.581334
27,Missouri,SEC,Mizzou Arena,,2021,-92.3337354,38.9324883
28,Iowa,B10,Carver Hawkeye Arena,,2021,-91.5546047,41.663778
29,Nebraska,B10,Pinnacle Bank Arena,,2021,-96.7126194,40.817931
29,Utah,P12,Huntsman Center,,2021,-111.8387829,40.762049
31,Purdue,B10,Mackey Arena,,2021,-86.9157668,40.4332234
32,Michigan St.,B10,Breslin Center,,2021,-84.4923695,42.7283325
33,Wake Forest,ACC,Joel Coliseum,,2021,-80.2574934,36.1277077
34,Arizona,P12,McKale Memorial Center,,2021,-110.9460438,32.2297033
35,Minnesota,B10,Williams Arena,,2021,-93.2279713,44.9768472
36,Virginia,ACC,John Paul Jones Arena,,2021,-78.5067583,38.0459528
37,Iowa St.,B12,Hilton Coliseum,,2021,-93.6348693,42.0211714
38,Vanderbilt,SEC,Memorial Gym,,2021,-78.5071603,38.0374683
39,West Virginia,B12,WVU Coliseum,,2021,-79.9814341,39.649361
40,UCLA,P12,Pauley Pavilion,,2021,-118.4469294,34.0703423
41,Oklahoma St.,B12,Gallagher Iba Arena,,2021,-97.0651325,36.1257039
42,Dayton,A10,University of Dayton Arena,,2021,-84.1997159,39.7356112
43,LSU,SEC,Maravich Assembly Center,,2021,-91.1846265,30.4142761
44,Ohio,MAC,Convocation Center,,2021,-88.7853088,41.9355125
45,Texas A&M,SEC,Reed Arena,,2021,-96.3462861,30.6060453
46,Michigan,B10,Crisler Center,,2021,-83.7467082,42.2650465
47,Oregon,P12,Knight Arena,,2021,-123.0663109,44.0449193
48,Kansas St.,B12,Bramlage Coliseum,,2021,-96.5937885,39.2003598
49,Pittsburgh,ACC,Petersen Events Center,,2021,-79.9622834,40.4438281
50,New Mexico St.,WAC,Pan American Center,,2021,-106.7421707,32.2836754
51,Boise St.,MWC,ExtraMile Arena,,2021,-116.1989424,43.6035805
52,San Diego St.,MWC,Viejas Arena,,2021,-117.0745172,32.7739056
53,Providence,BE,Dunkin' Donuts Center,,2021,-71.4179556,41.8236281
