"game_id","season","season_type","home_team_name","away_team_name"
"401252483",2021,2,"North Florida","Florida International"
"401252508",2021,2,"Mississippi State","Iowa State"
"401252509",2021,2,"Iowa State","West Virginia"
"401252510",2021,2,"Oklahoma","Iowa State"
"401252511",2021,2,"Iowa State","Kansas"
"401252512",2021,2,"Oklahoma State","Iowa State"
"401252577",2021,2,"Sacramento State","Idaho"
"401252580",2021,2,"Portland State","Weber State"
"401252581",2021,2,"Northern Arizona","Eastern Washington"
"401252582",2021,2,"Sacramento State","Idaho"
"401252583",2021,2,"Northern Colorado","Idaho State"
"401252585",2021,2,"Portland State","Weber State"
"401252587",2021,2,"Idaho","Northern Arizona"
"401252589",2021,2,"Montana","Northern Colorado"
"401252592",2021,2,"Idaho","Northern Arizona"
"401252594",2021,2,"Montana","Northern Colorado"
"401252597",2021,2,"Southern Utah","Idaho"
"401252598",2021,2,"Northern Arizona","Idaho State"
"401252599",2021,2,"Northern Colorado","Montana State"
"401252602",2021,2,"Southern Utah","Idaho"
"401252603",2021,2,"Northern Arizona","Idaho State"
"401252604",2021,2,"Northern Colorado","Montana State"
"401252606",2021,2,"Eastern Washington","Southern Utah"
"401252607",2021,2,"Idaho","Northern Colorado"
"401252609",2021,2,"Montana","Northern Arizona"
"401252610",2021,2,"Montana State","Portland State"
"401252611",2021,2,"Eastern Washington","Southern Utah"
"401252612",2021,2,"Idaho","Northern Colorado"
"401252614",2021,2,"Montana","Northern Arizona"
"401252615",2021,2,"Montana State","Portland State"
"401252616",2021,2,"Northern Colorado","Eastern Washington"
"401252617",2021,2,"Portland State","Idaho State"
"401252618",2021,2,"Sacramento State","Montana"
"401252619",2021,2,"Northern Arizona","Montana State"
"401252620",2021,2,"Weber State","Southern Utah"
"401252621",2021,2,"Northern Colorado","Eastern Washington"
"401252622",2021,2,"Portland State","Idaho State"
"401252623",2021,2,"Sacramento State","Montana"
"401252624",2021,2,"Northern Arizona","Montana State"
"401252625",2021,2,"Southern Utah","Weber State"
"401252627",2021,2,"Idaho","Weber State"
"401252631",2021,2,"Idaho","Weber State"
"401252635",2021,2,"Idaho","Eastern Washington"
"401252636",2021,2,"Portland State","Montana"
"401252637",2021,2,"Weber State","Montana State"
"401252640",2021,2,"Eastern Washington","Idaho"
"401252641",2021,2,"Portland State","Montana"
"401252642",2021,2,"Weber State","Montana State"
"401252645",2021,2,"Montana State","Eastern Washington"
"401252646",2021,2,"Idaho State","Idaho"
"401252647",2021,2,"Montana","Weber State"
"401252650",2021,2,"Montana State","Eastern Washington"
"401252651",2021,2,"Idaho State","Idaho"
"401252652",2021,2,"Montana","Weber State"
"401252655",2021,2,"Eastern Washington","Montana"
"401252656",2021,2,"Portland State","Idaho"
"401252658",2021,2,"Weber State","Northern Arizona"
"401252659",2021,2,"Southern Utah","Sacramento State"
"401252660",2021,2,"Montana","Eastern Washington"
"401252661",2021,2,"Idaho","Portland State"
"401252663",2021,2,"Weber State","Northern Arizona"
"401252664",2021,2,"Southern Utah","Sacramento State"
"401252665",2021,2,"Idaho","Montana State"
